AuthorName,AuthorID,AffiliationName,AffiliationID,TopPaperCount
aristides gionis,2BF27CC6,yahoo,4F05DC4B,38
kim guldstrand larsen,81124D44,aalborg university,351E811C,38
anthony yezzi,7F13CD3A,georgia institute of technology,07CA5884,38
janmichael frahm,793151E7,university of north carolina at chapel hill,06CBEAA9,38
injong rhee,804EB92D,north carolina state university,083839C7,38
david maier,7B0E79D1,portland state university,0787E01C,38
john hosking,7B69ED8C,university of auckland,092FD9CF,38
don batory,79037AE8,university of texas at austin,05282E0D,38
jue wang,7DD52D07,adobe systems,4DDE3B69,38
cynthia dwork,83BD0309,microsoft,4CE6FC2D,38
laszlo babai,685CB206,university of chicago,0267A61E,38
christopher k i williams,7E0B8362,university of edinburgh,05E1B1D9,38
michael j neely,7E65174D,university of southern california,0011EAC4,38
yigal bejerano,7FF91A57,bell labs,044C0559,38
qi tian,7D4D4865,university of texas at san antonio,02B554FC,38
markus jakobsson,7AA52464,indiana university bloomington,09DC92C5,37
rachel k e bellamy,79B1AC62,ibm,4FF45383,37
c v jawahar,2AA220A9,international institute of information technology hyderabad,03D37308,37
andy wellings,7D732333,university of york,031AFA6D,37
duncan p brumby,4AC61678,university college london,02B09E25,37
tomaso poggio,295C8CBD,massachusetts institute of technology,03D00B37,37
rada mihalcea,7B4613A0,university of north texas,075CFC38,37
andrey rybalchenko,75DD84E3,max planck society,08EF476D,37
catherine plaisant,0CE93C5F,university of maryland college park,03FD8454,37
henning schulzrinne,7C5A7E88,columbia university,04AF010A,37
wheeler ruml,75EEC1CE,university of new hampshire,09998A84,37
dragomir r radev,286B65E2,university of michigan,01A8C383,37
sebastian elbaum,0FA216E9,university of nebraska lincoln,06D18AFD,37
yin zhang,7D41530D,university of texas at austin,05282E0D,37
kyoung mu lee,80ECE633,seoul national university,084D01D3,37
toshio nakatani,78470AAD,ibm,4FF45383,36
longbing cao,7E11A500,university of technology sydney,06CBC4BA,36
xinbing wang,7E0DFF97,shanghai jiao tong university,0AE9651A,36
bo li,85A4DFF2,hong kong university of science and technology,0BF77E37,36
shai avidan,10AF61A7,tel aviv university,00FA1C18,36
steven dow,8027C490,carnegie mellon university,0477FFD3,36
nikolai tillmann,7E509AE2,microsoft,4CE6FC2D,36
saburo tsuji,79948762,osaka university,05DBB954,36
steve zdancewic,76DD42F1,university of pennsylvania,04BE3F72,36
krisztian balog,7D309E3E,university of amsterdam,34DF872C,36
shmuel peleg,0D9B2E8F,hebrew university of jerusalem,0BC1D058,36
niloy ganguly,7D073802,indian institute of technology kharagpur,08B22DAB,36
jirong wen,7B2715A0,microsoft,4CE6FC2D,36
weiyi meng,7E60503D,binghamton university,07634566,36
david mazieres,116E93F4,stanford university,05C86094,36
andrew w appel,7E61A97F,princeton university,01328BF3,35
eran yahav,803CD881,ibm,4FF45383,35
martin p robillard,7F5E2DC9,mcgill university,004CA7A3,35
jonathan m smith,7FEC3B56,university of pennsylvania,04BE3F72,35
visvanathan ramesh,7F9981B5,siemens,4F076E00,35
mani srivastava,7D16BD8A,university of california los angeles,099D876D,35
jeff kramer,7CEB7744,imperial college london,02D4EDF8,35
victor shoup,82A3A68D,new york university,0368E8BE,35
yiqun liu,7DD4CC47,tsinghua university,05E79D01,35
alex s taylor,80F89F78,microsoft,4CE6FC2D,35
donald kossmann,77F12283,eth zurich,021CC5D8,35
stratos idreos,82774AE0,college of western idaho,2BECA4ED,35
sanjay shakkottai,04F50656,university of texas at austin,05282E0D,35
koushik sen,809DF862,university of california berkeley,05B090CE,35
chitta baral,77D60AB1,arizona state university,0352694C,35
enhong chen,7F56748E,university of science and technology of china,078A8AE9,35
douglas c schmidt,7E7B748C,vanderbilt university,0BF6BC56,35
mario szegedy,7D57796A,at t,4C7A9B63,34
sanja fidler,759CF2E7,university of toronto,0B0ADEB6,34
tanzeem choudhury,76D08766,cornell university,0C4400FF,34
dong xu,85FD9472,nanyang technological university,0A4ACFBD,34
michael backes,79E9A728,saarland university,05776AD7,34
erik wilde,8030F1F6,university of california berkeley,05B090CE,34
flip korn,8568CB91,at t labs,4F872588,34
dan i moldovan,774BA42C,university of southern california,0011EAC4,34
stephen robertson,7EECE471,microsoft,4CE6FC2D,34
makoto sato,825AC2A3,tokyo institute of technology,06D39D72,34
michal irani,803E539B,weizmann institute of science,03376F29,34
viktor kuncak,0240C18C,ecole polytechnique federale de lausanne,004E3300,34
richard e ladner,59B4CED3,university of washington,0C01DCFD,34
philippe palanque,0538E229,university of toulouse,01109E6D,33
chia shen,7F56969A,mitsubishi electric research laboratories,0B09F358,33
vagelis hristidis,0E3B95F3,florida international university,012C9CDF,33
klaus berberich,7B069878,max planck society,08EF476D,33
david kaeli,81DF99FF,northeastern university,00C50601,33
ronitt rubinfeld,5B7834D6,massachusetts institute of technology,03D00B37,33
leonard j schulman,7E23B3F3,california institute of technology,074BDB0A,33
paramvir bahl,7CB9C8C0,microsoft,4CE6FC2D,33
alexandros labrinidis,071C31EA,university of pittsburgh,0A2510E5,33
ellen zegura,7B504DCB,georgia institute of technology,07CA5884,33
marc pollefeys,83036BE5,eth zurich,021CC5D8,33
sven dickinson,7DA549DC,university of toronto,0B0ADEB6,33
daniel g aliaga,7DA58E5A,purdue university,0D109F83,33
alessandro garcia,80111903,pontifical catholic university of rio de janeiro,002932B0,33
s v n vishwanathan,7572E010,purdue university,0D109F83,32
danny dig,23E5B8FB,university of illinois at urbana champaign,0966B229,32
uzi vishkin,023FA787,university of maryland college park,03FD8454,32
venu govindaraju,7D4C3759,university at buffalo,03C436D1,32
martin vechev,0261EB40,eth zurich,021CC5D8,32
ken perlin,43077759,new york university,0368E8BE,32
lirong xia,7F6A9288,duke university,0A2FAFA5,32
ken kennedy,7F585A26,rice university,0474FB72,32
keith w ross,81256C2A,university of pennsylvania,04BE3F72,32
jeffrey f cohn,7EABFA2A,university of pittsburgh,0A2510E5,32
iryna gurevych,026405C8,technische universitat darmstadt,01E0D8CE,32
yair bartal,76E69D74,hebrew university of jerusalem,0BC1D058,32
ralf herbrich,4D25EB8A,microsoft,4CE6FC2D,32
dennis hofheinz,76B8CFBB,karlsruhe institute of technology,0619822C,32
tok wang ling,8135EE00,national university of singapore,09E3EE34,32
junghoo cho,812A4E4A,university of california los angeles,099D876D,32
orit hazzan,0FE1392D,technion israel institute of technology,0A63B3A3,32
mike burmester,7812CCC4,florida state university,0626251D,32
shari lawrence pfleeger,0762E023,rand corporation,4E12B79F,32
jun wang,7DEBB2A0,ibm,4FF45383,32
antonio kruger,7FD30B73,university of munster,0156CBB8,32
taro maeda,7FF59760,osaka university,05DBB954,32
shamkant b navathe,7B1A5BE4,georgia institute of technology,07CA5884,32
xiaodong zhang,7FA5C32D,ohio state university,031EE95E,31
guoliang xing,7D9335E2,michigan state university,0532D181,31
luiz velho,7C7CA35B,instituto nacional de matematica pura e aplicada,0874F9B7,31
yoram bachrach,0EB9735F,microsoft,4CE6FC2D,31
tobias scheffer,75B7B650,max planck society,08EF476D,31
sorin lerner,848BA3FF,university of california san diego,0229448F,31
john kim,7E296FB8,kaist,09630970,31
don coppersmith,7973FED6,ibm,4FF45383,31
matthias jarke,0EF8EB63,rwth aachen university,34ED541F,31
alan fern,7F8A8921,oregon state university,07D2B6B9,31
eepeng lim,7F518C99,nanyang technological university,0A4ACFBD,31
harold thimbleby,7B083A67,swansea university,025C0B1D,31
karthikeyan sankaralingam,481F1B43,university of wisconsin madison,0810AAFA,31
maosong sun,8093C422,tsinghua university,05E79D01,31
huib de ridder,7DCD849D,delft university of technology,05DCD65A,31
fabio casati,7FDD4599,university of trento,0B845BA3,31
david poole,7B3378D4,university of british columbia,0875EA92,31
sriram subramanian,8639D64C,university of bristol,0228E4F2,31
dominique unruh,767BC595,saarland university,05776AD7,31
jianxiong xiao,7DC48C30,princeton university,01328BF3,31
kristina lerman,8020AF70,information sciences institute,0B0338EC,31
eike kiltz,80AA2186,college of western idaho,2BECA4ED,31
ron wakkary,109657A7,simon fraser university,0112E226,31
eero p simoncelli,7ACFC1D8,center for neural science,01F19718,31
duen horng chau,78AC5BBF,georgia institute of technology,07CA5884,31
a prasad sistla,2A69556A,university of illinois at chicago,0259891E,30
qiong luo,7E52120D,hong kong university of science and technology,0BF77E37,30
anna lysyanskaya,0C363155,brown university,01A842AA,30
monika henzinger,7651D7D1,google,4CF99586,30
bernice e rogowitz,21C1E624,ibm,4FF45383,30
b s manjunath,819C04EE,university of california santa barbara,09368EC9,30
jason eisner,7897C15D,johns hopkins university,08A948CC,30
eddie kohler,7E100CE1,university of california los angeles,099D876D,30
constantinos daskalakis,7C967832,massachusetts institute of technology,03D00B37,30
eric rotenberg,7FDBCD48,north carolina state university,083839C7,30
catherine meadows,77D27765,united states naval research laboratory,4CC89935,30
stratis d viglas,13FD3360,university of edinburgh,05E1B1D9,30
oscar nierstrasz,7C22D304,university of bern,071126B7,30
alexander c berg,7E720E7D,stony brook university,038CB6F6,30
steven minton,7E83493D,information sciences institute,0B0338EC,30
n asokan,43CB1B8C,aalto university,009779A9,30
dimitris achlioptas,1357C5F0,microsoft,4CE6FC2D,30
saswati sarkar,7EE97CA1,university of pennsylvania,04BE3F72,30
ben taskar,5D39416E,university of pennsylvania,04BE3F72,30
ian oakley,8108F36B,university of madeira,03757322,30
eli bensasson,0DE9F16D,technion israel institute of technology,0A63B3A3,30
aaron f bobick,12AFCB34,georgia institute of technology,07CA5884,30
joakim nivre,042E7616,uppsala university,075ABF1F,30
mario fritz,7D3902F2,max planck society,08EF476D,29
shoude lin,8163F503,national taiwan university,00FF56A8,29
vincent conitzer,0175B328,carnegie mellon university,0477FFD3,29
ouri wolfson,80148880,university of illinois at chicago,0259891E,29
lars r knudsen,794F0FDC,technical university of denmark,05C31D4B,29
david b shmoys,803409F7,cornell university,0C4400FF,29
subhash suri,7F265FD4,university of california santa barbara,09368EC9,29
j p singh,8092FA93,princeton university,01328BF3,29
hassan gomaa,7471DD11,george mason university,09B2D407,29
manfred k warmuth,75E08B05,university of california santa cruz,0B08755E,29
andre scedrov,7D53E14F,university of pennsylvania,04BE3F72,29
edward m riseman,7D297DCC,university of massachusetts amherst,01776B6C,29
koichi kise,7ECAEB8C,osaka prefecture university,00F133C8,29
weixiong zhang,7F74F088,washington university in st louis,0C2FE58D,29
farnam jahanian,7E8A2356,university of michigan,01A8C383,29
jean vanderdonckt,796F5D63,universite catholique de louvain,05B3DFF1,29
anand rangarajan,7917570B,university of florida,01FACAD8,29
byron cook,80049030,microsoft,4CE6FC2D,29
jeffrey heer,7DED193A,stanford university,05C86094,29
ce liu,805CEE9C,microsoft,4CE6FC2D,29
chen ding,7DC4D2E4,university of rochester,005237C4,29
john c knight,81DAC9D0,university of virginia,0312B01D,29
edmond boyer,7F746615,french institute for research in computer science and automation,4F10C1EB,28
james r lee,7DC1E3B9,university of washington,0C01DCFD,28
eli blevis,4BE660F9,indiana university bloomington,09DC92C5,28
alberto sillitti,072FD8B8,free university of bozen bolzano,0A398D80,28
pierre wolper,7E5D42AB,university of liege,0965EC45,28
gem stapleton,80E5260B,university of brighton,04451824,28
chengzheng sun,80DDE5C9,griffith university,00B28C35,28
mohan m trivedi,7F11CDCF,university of california san diego,0229448F,28
in so kweon,78C97592,kaist,09630970,28
werner geyer,7EE9BDAC,ibm,4FF45383,28
kenton ohara,79D7A0DD,microsoft,4CE6FC2D,28
peter brusilovsky,79291EFB,university of pittsburgh,0A2510E5,28
alex biryukov,8136397D,university of luxembourg,0B23EC19,28
karin coninx,80DD7947,university of hasselt,345C2848,28
ben y zhao,81212FE4,university of california santa barbara,09368EC9,28
calton pu,85F27E65,georgia institute of technology,07CA5884,28
phong q nguyen,806F9E44,ecole normale superieure,01C3C549,28
anupam datta,7FFA0EF1,carnegie mellon university,0477FFD3,28
lori pollock,7D2A31FF,university of delaware,0527EA39,28
lihong li,7EB3D637,rutgers university,06194FDE,28
charles elkan,2A0FC38B,university of california san diego,0229448F,28
feng zhao,7F0FE2D2,microsoft,4CE6FC2D,28
branislav kveton,07D1F319,technicolor,86317390,28
juanzi li,7EE857A4,tsinghua university,05E79D01,28
xavier boyen,04025B48,university of liege,0965EC45,28
diane j cook,7D932ACE,washington state university,04592826,28
hsienhsin s lee,800628BD,georgia institute of technology,07CA5884,28
jane w s liu,7FE46154,university of illinois at urbana champaign,0966B229,28
randal e bryant,803EBC75,carnegie mellon university,0477FFD3,28
harald reiterer,5EAC31BB,university of konstanz,0B4EC93C,28
shoichi hasegawa,7D42F37E,tokyo institute of technology,06D39D72,28
jane clelandhuang,0DC6E22D,depaul university,070DED1B,28
raghu meka,80ABFAB6,university of texas at austin,05282E0D,28
paolo favaro,785DA368,heriot watt university,01E93C2F,28
